Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link
The Woodpecker Inn Jibhi,549,9.9,16.0,Jibhi,400 m ,https://www.booking.com/hotel/in/the-woodpecker-inn-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1134402104_386106310_1_2_0&highlighted_blocks=1134402104_386106310_1_2_0&matching_block_id=1134402104_386106310_1_2_0&sr_pri_blocks=1134402104_386106310_1_2_0__54900&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Madpackers Jibhi,432,9.3,151.0,Jibhi,350 m ,https://www.booking.com/hotel/in/madpackers-jibhi-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=776664905_350271116_1_0_0&highlighted_blocks=776664905_350271116_1_0_0&matching_block_id=776664905_350271116_1_0_0&sr_pri_blocks=776664905_350271116_1_0_0__43200&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
"The Hosteller Shoja, Jibhi",439,8.6,367.0,Jibhi,3.5 km ,https://www.booking.com/hotel/in/the-hosteller-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=632165004_386134647_0_0_0&highlighted_blocks=632165004_386134647_0_0_0&matching_block_id=632165004_386134647_0_0_0&sr_pri_blocks=632165004_386134647_0_0_0__43920&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Khwabeeda Stays,2500,9.1,11.0,Jibhi,400 m ,https://www.booking.com/hotel/in/khwabeeda-stays-jibhi-himachal-prad.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=830245001_348993731_0_42_0&highlighted_blocks=830245001_348993731_0_42_0&matching_block_id=830245001_348993731_0_42_0&sr_pri_blocks=830245001_348993731_0_42_0__250000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Freebird Nest 2 Stays & Cafe,2552,10.0,3.0,Jibhi,1 km ,https://www.booking.com/hotel/in/freebird-nest-2-0.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=965537901_369306841_1_42_0&highlighted_blocks=965537901_369306841_1_42_0&matching_block_id=965537901_369306841_1_42_0&sr_pri_blocks=965537901_369306841_1_42_0__255150&dcs_click=1&from=searchresults#hotelTmpl
Reverberate Cafe & Cottages - Negi's Place,884,9.5,25.0,Jibhi,400 m ,https://www.booking.com/hotel/in/reverberate-cafe-amp-cottages-negis-place-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=794367103_339485736_1_0_0&highlighted_blocks=794367103_339485736_1_0_0&matching_block_id=794367103_339485736_1_0_0&sr_pri_blocks=794367103_339485736_1_0_0__88400&dcs_click=1&from=searchresults#hotelTmpl
Whoopers Boutique Resort Jibhi,1999,8.9,164.0,Jibhi,1.1 km ,https://www.booking.com/hotel/in/whoopers-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=715960008_373902436_2_2_0&highlighted_blocks=715960008_373902436_2_2_0&matching_block_id=715960008_373902436_2_2_0&sr_pri_blocks=715960008_373902436_2_2_0__199920&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Stargazing Cottages Jibhi,8400,8.8,19.0,Jibhi,0.9 km ,https://www.booking.com/hotel/in/stargazing-cottages.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=713448201_298326888_0_1_0&highlighted_blocks=713448201_298326888_0_1_0&matching_block_id=713448201_298326888_0_1_0&sr_pri_blocks=713448201_298326888_0_1_0__840000&dcs_click=1&from=searchresults#hotelTmpl
YOLO Hostel & Stay Jibhi,499,8.7,18.0,Jibhi,2.8 km ,https://www.booking.com/hotel/in/yolo-hostel-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=825095501_389759492_1_42_0&highlighted_blocks=825095501_389759492_1_42_0&matching_block_id=825095501_389759492_1_42_0&sr_pri_blocks=825095501_389759492_1_42_0__49900&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Peekaboo Stays,1349,8.9,37.0,Jibhi,350 m ,https://www.booking.com/hotel/in/peekaboo.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=708653502_295699896_1_42_0&highlighted_blocks=708653502_295699896_1_42_0&matching_block_id=708653502_295699896_1_42_0&sr_pri_blocks=708653502_295699896_1_42_0__134910&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
