Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link,City
The Hosteller Tirthan Valley,1059,4.2,28,Gushaini,0km,https://www.makemytrip.com/hotels/the_hosteller_tirthan_valley-details-banjar.html,Gushaini
SaffronStays Hillstation over Tirthan Valley,20914,0,0, In Gushaini,0km,https://www.makemytrip.com/hotels/saffronstays_hillstation_over_tirthan_valley-details-banjar.html,Sharchi 
Khushi Homes,1066,,0,Gushaini,0km,https://www.makemytrip.com/hotels/khushi_homes-details-banjar.html,Gushaini
Tirthan Plum Cottages,1643,4.0,6,Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_plum_cottages-details-banjar.html,Gushaini
Tirthan Height - A home facing toward Snow capped Mountains,1789,5.0,4,Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_height_a_home_facing_toward_snow_capped_mountains-details-banjar.html,Gushaini
Apple Blush Retreat,1527,5.0,3,Gushaini,0km,https://www.makemytrip.com/hotels/apple_blush_retreat-details-banjar.html,Gushaini
TULSI HOME STAY,1744,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/tulsi_home_stay-details-banjar.html,Gushaini
Villas Resort - By Tirthan Riverside,4263,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/villas_resort_by_tirthan_riverside-details-banjar.html,Gushaini
Odin Stays and Cafe,1708,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/odin_stays_and_cafe-details-banjar.html,Gushaini
Rudra Rainbow | A Trout House in Tirthan,2875,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/rudra_rainbow_a_trout_house_in_tirthan-details-banjar.html,Gushaini
Tirthan Valley camps by Travel Two Trip,5287,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_valley_camps_by_travel_two_trip-details-banjar.html,Gushaini
Riverside Forest Camping,1643,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/riverside_forest_camping-details-banjar.html,Gushaini
Tirthan Nature Lap Home Stay,3164,0,0,Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_nature_lap_home_stay-details-banjar.html,Gushaini
Tirthan Valley Wooden House | Rooms & Wi-Fi,2108,4.5,37, 360 m from Gushaini,360 m ,https://www.makemytrip.com/hotels/tirthan_valley_wooden_house_rooms_wi_fi-details-banjar.html,Tirthan Valley 
StayVista at Rustic Loft 2 @ Wisteria Whispers,20899,0,0, 780 m from Gushaini,780 m ,https://www.makemytrip.com/hotels/stayvista_at_rustic_loft_2_wisteria_whispers-details-banjar.html,Tirthan Valley 
StayVista at Rustic Loft 1 @ Wisteria Whispers,13754,0,0, 780 m from Gushaini,780 m ,https://www.makemytrip.com/hotels/stayvista_at_rustic_loft_1_wisteria_whispers-details-banjar.html,Tirthan Valley 
StayVista at Wisteria Whispers,28610,0,0, 780 m from Gushaini,780 m ,https://www.makemytrip.com/hotels/stayvista_at_wisteria_whispers-details-banjar.html,Tirthan Valley 
Brown Dipper House by Humming Woods,1873,4.9,12, 1.5 km from Gushaini,0km,https://www.makemytrip.com/hotels/brown_dipper_house_by_humming_woods-details-banjar.html,Tirthan Valley 
Sneha Homestay,1734,4.9,16, 2.4 km from Gushaini,0km,https://www.makemytrip.com/hotels/sneha_homestay-details-banjar.html,Tirthan Valley 
Tirthan Travel Nest Homestay | Rooms & Caretaker,2197,4.9,41, 2.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_travel_nest_homestay_rooms_caretaker-details-banjar.html,Tirthan Valley 
The Brightside Resorts Tirthan A Riverside Hotel,4394,3.7,57, 1.4 km from Gushaini,0km,https://www.makemytrip.com/hotels/the_brightside_resorts_tirthan_a_riverside_hotel-details-banjar.html,Tirthan Valley 
Anand@Tirthan,4180,,84, 1 km from Gushaini,1 km ,https://www.makemytrip.com/hotels/anand_tirthan-details-banjar.html,Tirthan Valley 
USHA GUEST HOUSE,1995,,4, 1.8 km from Gushaini,1.8 km ,https://www.makemytrip.com/hotels/usha_guest_house-details-banjar.html,Tirthan Valley 
Sharda Resorts Tirthan Valley,2637,,58, 2.9 km from Gushaini,2.9 km ,https://www.makemytrip.com/hotels/sharda_resorts_tirthan_valley-details-banjar.html,Tirthan Valley 
ShivAdya Tirthan-Boutique Hotel in Tirthan Valley,6500,,7, 1.2 km from Gushaini,1.2 km ,https://www.makemytrip.com/hotels/shivadya_tirthan_boutique_hotel_in_tirthan_valley-details-banjar.html,Tirthan Valley 
Bisht Niwas,3831,4.1,45, 2.6 km from Gushaini,0km,https://www.makemytrip.com/hotels/bisht_niwas-details-banjar.html,Tirthan Valley 
Tara Homestay | Rooms & Guided Treks,794,4.1,166, 1.8 km from Gushaini,0km,https://www.makemytrip.com/hotels/tara_homestay_rooms_guided_treks-details-banjar.html,Banjar 
Devlok Homestay,1232,4.3,25, 1.8 km from Gushaini,1.8 km ,https://www.makemytrip.com/hotels/devlok_homestay-details-banjar.html,Tirthan Valley 
Devat Farm Cottages | Rooms & Restaurant,4043,4.6,30, 2.3 km from Gushaini,0km,https://www.makemytrip.com/hotels/devat_farm_cottages_rooms_restaurant-details-banjar.html,Tirthan Valley 
Tirthan Himalayan Holidays Home stay,2154,0,0, 2.1 km from Gushaini,2.1 km ,https://www.makemytrip.com/hotels/tirthan_himalayan_holidays_home_stay-details-banjar.html,Tirthan Valley 
Tirthan Diaries,6181,0,0, 2.7 km from Gushaini,2.7 km ,https://www.makemytrip.com/hotels/tirthan_diaries-details-banjar.html,Tirthan Valley 
